#weight  minuslogpost      logA        n_s     omega_b  omega_cdm  theta_s_1e2    tau_reio           A_s       H0  minuslogprior  minuslogprior__0       chi2  chi2__my_cl_like
 6  -19052.06 3.0788682 0.96556555 0.022277232 0.11954071 1.0412926 0.066587011 2.1733791e-09 67.25662 -3.5494364 -3.5494364 -38097.021 -38097.021
16 -19051.583 3.0853445  0.9634934 0.022187098 0.11941686 1.0411753 0.070327006 2.1875002e-09 67.17995 -3.5494364 -3.5494364 -38096.067 -38096.067
16 -19051.979 3.0990461 0.96458636 0.022224064  0.1193601 1.0412642  0.07690856 2.2176786e-09 67.26319 -3.5494364 -3.5494364 -38096.859 -38096.859
 5  -19051.74 3.0845662 0.96286789 0.022359966 0.12030108 1.0412476 0.068186184 2.1857982e-09 67.04792 -3.5494364 -3.5494364 -38096.381 -38096.381
65 -19052.389 3.0899664 0.96265531 0.022383599 0.12018052 1.0413899 0.071127167  2.197634e-09 67.15933 -3.5494364 -3.5494364 -38097.678 -38097.678
 5 -19051.802   3.09448 0.96085405 0.022276894 0.12051096 1.0411484 0.073229066 2.2075756e-09 66.86584 -3.5494364 -3.5494364 -38096.506 -38096.506
18 -19052.086 3.0860753   0.963278 0.022330014 0.11915272 1.0415477 0.070545679 2.1890993e-09 67.52762 -3.5494364 -3.5494364 -38097.074 -38097.074
34 -19051.972 3.0865436 0.96345824 0.022337619 0.11902464 1.0415979  0.07090004 2.1901248e-09 67.59698 -3.5494364 -3.5494364 -38096.845 -38096.845
17 -19052.624 3.0859514 0.96671659 0.022376781 0.11816845 1.0415995 0.071635431 2.1888282e-09 67.94003 -3.5494364 -3.5494364 -38098.149 -38098.149
 6 -19051.354 3.0935989 0.96900665 0.022398917 0.11806367 1.0416705  0.07539761 2.2056314e-09 68.02166 -3.5494364 -3.5494364 -38095.608 -38095.608
 1 -19052.301 3.0549453 0.96033605 0.022123384 0.12207803 1.0417261 0.051446012 2.1220024e-09 66.37309 -3.5494364 -3.5494364 -38097.504 -38097.504
12 -19052.369 3.0421685 0.95982669 0.022113053  0.1219581 1.0415925 0.045430769 2.0950626e-09 66.36087 -3.5494364 -3.5494364  -38097.64  -38097.64
